,Sheep,Image,MinDist,IFDist
188,11,145,37.914671885478654,213.34481835746928
189,11,106,48.41130069671549,162.85385539944326
190,11,162,137.940536786599,208.15547825303162
191,11,94,21.33280891853791,210.95249376405795
192,11,160,53.54587333175022,136.66412553910303
193,11,108,92.74090644583109,170.40062483239907
194,11,18,107.34317215641327,178.75251251077734
195,11,2,75.76311064019237,184.08965764084766
196,11,120,103.80653739965555,196.0806541273785
197,11,21,171.06502269595947,224.19629852901897
198,11,33,173.80565693325073,249.8402016825779
199,11,1,81.3167888747384,249.69315464896988
200,11,19,76.60398886023458,178.09928848888075
201,11,77,53.54942091401835,184.60405809382178
202,11,4,151.52407601294917,230.70015887302063
203,11,35,172.9442366363996,208.98125491938066
204,11,79,139.85807387495132,216.12893847151824
205,11,107,79.02011090294407,189.95609371784184
206,11,47,149.35517044974773,211.93068470900369
207,11,3,60.16835887253568,176.16873600650172
208,12,118,98.78491984643443,182.3173572114268
209,12,69,91.38229255590821,157.77618391301434
210,12,141,72.66682315412362,192.02636413860347
211,12,80,110.23780830783372,197.76802060396068
212,12,116,108.15324944309307,197.386744706294
213,12,167,93.2642327634598,166.45778205421308
214,12,150,121.37594930267116,197.79661767943148
215,12,152,132.0899337233611,188.87139346282007
216,12,165,88.88236615228381,183.11707567436392
217,12,71,102.57809322712139,189.28458890480383
218,12,202,4.117337242385879,155.59764347526965
219,12,181,107.89687530808364,159.39585921380484
220,12,191,154.496128507399,197.61304654408954
221,12,117,116.23348232001938,189.12276657264883
222,12,201,111.74341634049523,191.53605212608085
223,12,83,124.08510222712663,194.0962390494548
224,12,178,99.12801607540872,173.44156755299025
225,12,67,156.84335980992756,202.21903761444378
226,12,82,142.0529866766611,174.30705966026676
227,12,193,123.18113313725603,182.53562189399602
228,12,164,123.33518502062276,191.00400352842925
229,12,166,119.40726271866252,177.57502528287736
230,12,179,98.63577807940787,198.56668185472057
231,12,95,186.67240620495338,241.8182510456168
232,12,104,34.864179191414856,157.08358943233694
233,12,151,168.26604727267159,236.75660431749753
