,Sheep,Image,Scale,Directionality
409,19,100,8.0,0.18406590411717957
410,19,135,8.0,0.22646871674917246
411,19,19,8.0,0.24636585613775477
412,19,85,8.0,0.14299050982844497
413,19,98,9.0,0.16421153331017702
414,19,34,9.0,0.3226041989476562
415,19,47,9.0,0.2976033844388782
416,19,97,9.0,0.20941720153735965
417,19,31,8.0,0.31276726165309154
418,19,86,9.0,0.1096819423943119
419,19,122,9.0,0.2006132880495251
420,20,102,9.0,0.4770652681392523
421,20,65,9.0,0.35811742955223447
422,20,114,8.0,0.37824403899585474
423,20,13,9.0,0.40517338857712004
424,20,39,9.0,0.46886745860935947
425,20,76,9.0,0.4854390967467503
426,20,103,8.0,0.4025352502041925
427,20,40,10.0,0.5782760178600841
428,20,64,9.0,0.35538152488155034
429,20,15,9.0,0.37899952322429653
430,20,1,10.0,0.5514229303683795
431,20,89,10.0,0.5473412921185068
432,20,77,8.0,0.3363516444825082
433,20,90,10.0,0.5165871292851545
434,21,113,11.0,0.5722090074003213
435,21,55,10.0,0.21959706730564282
436,21,91,10.0,0.3113413296182915
437,21,2,11.0,0.5617663713658163
438,21,3,11.0,0.5755622160784575
439,21,106,11.0,0.5183769076967198
440,21,56,10.0,0.1999904876123468
441,21,15,10.0,0.1757110012483552
442,21,40,11.0,0.42213357974077936
443,21,17,9.0,0.1671442621590265
444,21,54,11.0,0.36805321473872354
445,21,42,10.0,0.4093346994544062
446,21,114,10.0,0.3422369547528974
447,21,92,10.0,0.3629310490147768
448,21,1,11.0,0.467561180378579
449,21,29,11.0,0.46699285764952514
450,21,68,10.0,0.23962510692603278
451,21,93,10.0,0.268649357549879
452,21,27,10.0,0.2827010821446533
453,21,41,11.0,0.521598615947622
454,21,16,10.0,0.25044653149442925
455,21,112,11.0,0.4789589606890271
456,21,28,10.0,0.3116615427093972
457,21,83,11.0,0.481227068627947
458,22,54,11.0,0.6269467118499705
459,22,93,10.0,0.5569596155551152
460,22,52,11.0,0.6594163688453999
461,22,56,8.0,0.43291282264999315
462,22,84,9.0,0.47337667146100526
463,22,17,10.0,0.49597969320978724
464,22,31,11.0,0.6531388661053495
465,22,32,11.0,0.6183694757158812
466,22,72,11.0,0.6341935796435783
467,22,53,10.0,0.5534150515323042
468,22,92,11.0,0.6349400805332613
469,22,55,9.0,0.47622375739494494
470,22,19,11.0,0.5984137288338768
471,22,3,11.0,0.6852053232531687
472,22,1,11.0,0.671408306412632
473,22,103,11.0,0.6058973495431317
474,22,41,10.0,0.4444626786396485
475,22,71,11.0,0.643446857592673
476,22,2,11.0,0.6395593467522539
477,22,73,11.0,0.5979910341624148
478,23,1,11.0,0.4816268170743361
479,23,13,12.0,0.5969006925513888
480,23,67,7.0,0.17082061843225643
481,23,22,7.0,0.13995762699986633
482,23,26,7.0,0.1436588982678352
483,23,72,9.0,0.3393038490010406
484,23,41,10.0,0.3709837418788789
485,23,65,11.0,0.574090553188888
486,23,24,7.0,0.15902577478709035
487,23,64,11.0,0.5899242784433424
488,23,59,6.0,0.17741802002224363
489,23,23,7.0,0.1642917493661768
490,23,25,7.0,0.15729146555804072
491,23,40,7.0,0.13729926722678334
492,23,11,8.0,0.31082564257597084
493,23,71,9.0,0.2930625381378168
494,23,58,6.0,0.19443908455603018
495,23,43,8.0,0.15525406137750497
496,23,66,7.0,0.15735116336718694
497,23,70,9.0,0.18277760794793205
498,23,42,10.0,0.3758216449980209
499,23,44,10.0,0.4760493738281664
500,23,69,7.0,0.1630112709675073
501,23,61,11.0,0.5549634602953772
502,23,27,7.0,0.17372111397431145
503,23,68,7.0,0.14547290318841916
504,23,28,8.0,0.214012203457787
505,23,12,10.0,0.4289847391158442
506,23,62,11.0,0.5386062617800802
507,23,73,7.0,0.21527446427361543
508,23,55,8.0,0.10253314876622956
509,23,56,7.0,0.07416541695840935
510,23,60,11.0,0.4792166515391154
511,23,57,7.0,0.07634488536251982
512,23,63,11.0,0.5655314901210668
513,24,5,10.0,0.6810332646185296
514,24,1,10.0,0.5643223107479711
515,24,2,10.0,0.5678019364576476
516,24,9,11.0,0.6928281670021886
517,24,3,11.0,0.660854216504556
518,24,10,10.0,0.707748017139472
519,24,6,10.0,0.5584789850334623
520,24,4,10.0,0.5892797529699311
521,25,7,12.0,0.6870959245905457
522,25,8,11.0,0.521600800933229
523,25,12,12.0,0.6692488124550467
524,25,3,9.0,0.4010990719837547
525,25,2,9.0,0.3662934179054568
526,25,6,12.0,0.6558601161209043
527,25,5,12.0,0.6583982417805512
528,26,5,7.0,0.3202988651870865
529,26,33,7.0,0.1956768350668575
530,26,27,7.0,0.22985076535668275
531,26,41,8.0,0.2424115712916093
532,26,22,7.0,0.3849337670445822
533,26,32,8.0,0.2568904046640075
534,26,16,8.0,0.43387484952036565
535,26,25,7.0,0.3914180474969247
536,26,44,8.0,0.26013511051592547
537,26,13,8.0,0.4203595678785766
538,26,43,8.0,0.2776526465683885
539,26,50,7.0,0.5644102933127886
540,26,37,7.0,0.48777109071967617
541,26,1,7.0,0.2679875820544627
542,26,2,7.0,0.3081160625936069
543,26,3,7.0,0.3910220954290091
544,26,7,7.0,0.3949561910276088
545,26,4,7.0,0.26961712232482293
546,26,23,8.0,0.4791814590240814
547,26,39,8.0,0.4088106511801864
548,26,9,8.0,0.28908742151068056
549,26,11,7.0,0.44284538281497715
550,26,29,8.0,0.39301584210714646
551,26,48,8.0,0.49177424079701326
552,26,6,7.0,0.31115091077510726
553,26,8,8.0,0.3199937333467741
554,26,45,8.0,0.2920940021800027
555,26,40,8.0,0.48029527482571643
556,26,15,8.0,0.37955427061306946
557,26,12,10.0,0.5187141241028961
558,26,35,10.0,0.4034882475358178
559,26,28,8.0,0.4019869084645453
560,26,19,7.0,0.46480513849148847
561,26,38,7.0,0.389487488723782
562,26,34,8.0,0.23645024497045738
563,26,47,11.0,0.5666145817214905
564,26,42,8.0,0.24176129804506846
565,26,49,7.0,0.5277615093016539
566,26,18,8.0,0.48964049893222367
567,26,21,7.0,0.41801852770604886
568,26,36,7.0,0.26263734610712547
569,26,52,7.0,0.42856590872830075
570,26,20,7.0,0.44418304163711575
571,30,4,9.0,0.28914393711723063
572,30,49,9.0,0.28785761552919925
573,30,112,9.0,0.195008577921219
574,30,99,9.0,0.2616503777323221
575,30,76,9.0,0.2080975482256971
576,30,34,9.0,0.1031537836651882
577,30,128,9.0,0.11639096966702016
578,30,127,9.0,0.10266384626174103
579,30,139,9.0,0.15782193550920548
580,30,155,8.0,0.16757986587333754
581,30,21,9.0,0.243233653867923
582,30,90,9.0,0.20647621735237526
583,30,100,9.0,0.2938881510657599
584,30,114,9.0,0.2238250026189499
585,30,63,9.0,0.27906082294511897
586,30,46,9.0,0.23349336979898136
587,30,18,9.0,0.2229477828398656
588,30,153,9.0,0.20666407929776487
589,30,126,9.0,0.19134538773238297
590,30,1,9.0,0.16899798214071693
591,30,2,9.0,0.25307339127435224
592,30,89,9.0,0.14700595134135305
593,30,154,9.0,0.2061304725758684
594,30,3,9.0,0.26828594431344155
595,30,79,9.0,0.2463273673411373
596,30,77,9.0,0.2615225020936955
597,30,65,9.0,0.23835788834995802
598,30,20,9.0,0.20520037265055877
599,30,35,9.0,0.1838431645854794
600,30,33,9.0,0.18368851896923125
601,30,141,9.0,0.13881272112138743
602,30,111,9.0,0.18931948020478168
603,30,113,9.0,0.2612829245591776
604,30,140,9.0,0.14940468611637486
605,30,19,9.0,0.19992547753393386
606,30,64,9.0,0.17530740766198669
607,30,78,9.0,0.2504202747644529
608,30,66,9.0,0.2253432623690107
609,30,62,9.0,0.22608996358310124
610,30,48,9.0,0.24832301942284707
611,30,152,8.0,0.24361149096333698
612,30,47,9.0,0.18759581069571124
613,31,19,8.0,0.23211172264764862
614,31,66,9.0,0.2759626787597057
615,31,32,10.0,0.5110884858093958
616,31,137,11.0,0.4304689525554163
617,31,67,9.0,0.3285945629802653
618,31,79,11.0,0.45269548100984497
619,31,123,11.0,0.4630007029055726
620,31,51,10.0,0.34996991356564083
621,31,33,10.0,0.3812945468899942
622,31,80,9.0,0.2644957466220371
623,31,98,10.0,0.3539871258143884
624,31,122,11.0,0.5625458602323897
625,31,20,8.0,0.32274609340956223
626,31,90,12.0,0.6285762543657621
627,31,121,10.0,0.3297066961571945
628,31,65,9.0,0.2641113507625929
629,32,18,8.0,0.09056104206507475
630,32,2,8.0,0.20928665855616943
631,32,29,7.0,0.07754310981316574
632,32,13,9.0,0.31565148593050846
633,32,30,7.0,0.06031159523635359
634,32,17,8.0,0.188176667468411
635,32,19,7.0,0.07694487863568762
636,32,49,12.0,0.6024294397129658
637,32,1,8.0,0.21132088195872983
638,33,1,13.0,0.6952027914997457
639,33,26,15.0,0.6927421271471849
640,33,53,11.0,0.6098082794687645
641,33,9,14.0,0.7567157033845119
642,33,59,13.0,0.6557187961162281
643,33,60,13.0,0.7340245983770047
644,33,73,13.0,0.6818882613158826
645,33,8,14.0,0.7538621415023363
646,33,27,14.0,0.6893613953248915
647,33,40,13.0,0.6915335418070242
648,33,74,13.0,0.6978942482401777
649,33,72,13.0,0.6764866440019985
650,33,58,13.0,0.6737587474200983
651,33,11,12.0,0.587745706334596
652,33,25,15.0,0.6762174385026172
653,33,10,13.0,0.7595224560283201
654,33,41,12.0,0.7280174669078647
655,34,68,9.0,0.32459126331556143
656,34,12,14.0,0.644254620262666
657,34,91,13.0,0.5743675946695825
658,34,51,15.0,0.7005015249001839
659,34,37,13.0,0.627307108887762
660,34,10,14.0,0.6815638676096685
661,34,52,14.0,0.6523614766890963
662,34,53,9.0,0.3425995993711235
663,34,2,14.0,0.6744481364202259
664,34,25,14.0,0.6417760767629179
665,34,90,14.0,0.706251495406462
666,34,26,15.0,0.6411290011244231
667,34,1,9.0,0.31178642064261963
668,34,88,14.0,0.6781042104844249
669,34,39,13.0,0.6160189643535898
670,34,89,13.0,0.6927060399527534
671,35,85,9.0,0.16058885525508446
672,35,30,13.0,0.5231977106967264
673,35,44,15.0,0.6054717244167932
674,35,3,9.0,0.11639295390233688
675,35,1,12.0,0.5251837478371899
676,35,110,11.0,0.4135738992013643
677,35,18,9.0,0.20189161404974953
678,35,71,12.0,0.5105560928693418
679,35,55,14.0,0.5422560251118305
680,35,73,9.0,0.1302969735141261
681,35,122,11.0,0.3856894959660793
682,35,56,11.0,0.38124045484190733
683,35,108,10.0,0.32924534951258083
684,35,17,9.0,0.19288600973071124
685,35,72,9.0,0.056919340377874196
686,35,57,9.0,0.10642145707871385
687,35,107,13.0,0.5007221122161305
688,35,4,9.0,0.19028654691979402
689,35,16,10.0,0.257151966319962
690,35,43,9.0,0.12566740932932818
691,35,84,9.0,0.17007576102784291
692,35,109,10.0,0.24809447029813908
693,35,15,9.0,0.22676837160875365
694,35,42,13.0,0.47331122515666607
695,35,58,10.0,0.3298534723097583
696,35,121,15.0,0.5438705039560903
697,35,59,9.0,0.17378144716811952
698,35,2,11.0,0.38426564484752074
699,35,70,9.0,0.1335542856059061
700,35,123,10.0,0.19252239235007076
701,36,47,10.0,0.5189540674229969
702,36,1,13.0,0.6437727966030639
703,36,17,12.0,0.6520413136497717
704,36,31,8.0,0.2995585391716966
705,36,33,8.0,0.32297070565843145
706,36,73,7.0,0.2041087199577794
707,36,18,9.0,0.4186048691691836
708,36,71,8.0,0.16641116991308136
709,36,75,7.0,0.14011818620373373
710,36,88,8.0,0.2641423135597913
711,36,116,11.0,0.5605334901740067
712,36,34,8.0,0.3718092009283926
713,36,59,10.0,0.4403673405570047
714,36,131,9.0,0.3864319995093083
715,36,118,12.0,0.6066453100908089
716,36,86,8.0,0.19927260103782485
717,36,103,8.0,0.28779228352772446
718,36,19,10.0,0.4904130576708355
719,36,2,11.0,0.5425785283979824
720,36,45,10.0,0.5181841187110778
721,36,74,8.0,0.19299367577596108
722,36,46,8.0,0.3407982485657676
723,36,130,8.0,0.31498359522865543
724,36,115,11.0,0.5946262034415841
725,36,104,13.0,0.6550480245752105
726,36,58,10.0,0.37777056545943666
727,36,20,9.0,0.3814355539292032
728,36,101,10.0,0.4309717050692144
729,36,3,10.0,0.4616628707089281
730,36,2,8.0,0.3047800887859653
731,36,60,8.0,0.26115602583444797
732,36,87,8.0,0.24023259527858476
733,36,102,9.0,0.3593431308063751
