,CurrTag,DeathDate,Sheep,Category,ID,Sex,AgeAtDeath,Weight,Foreleg,Hindleg,Directionality,DirectionalityVar,Entropy,EntropyVar,FociCount,FociCountVar,FociSize,FociSizeVar,Lacunarity,LacunarityVar,Scale,ScaleVar,TissueToSinusoid,TissueToSinusoidVar
115,BG083,24/03/12,82.0,Soay,8292.0,1.0,0.0,12.3,102.0,148.0,0.15155973096625397,0.003368815677155306,0.6127257599075596,0.00011445914276730917,13.916666666666666,10.743055555555543,2338.280043836023,271273.83516584215,0.1532458684172225,0.0005167951581634597,24.833333333333332,2.9722222222222476,0.498043264796962,0.0014415135433712978
117,BG108,19/02/12,16.0,Soay,8317.0,1.0,0.0,9.9,103.0,147.0,0.26100540595152666,0.009291773061953092,0.594311103564323,0.00016900128517460225,10.526315789473685,7.722991689750702,1373.4773013536171,307449.56032649626,0.10142207268875088,0.0003009354948050266,34.26315789473684,3.457063711911408,0.3319479952607468,0.00035754551661464003
118,BG109,9/3/2012,9.0,Soay,8318.0,1.0,0.0,11.7,112.0,161.0,0.4514222280090337,0.0072489308775181005,0.6454005152032529,5.930713546486999e-06,14.6,15.440000000000008,812.7421703296703,29127.33403642373,0.06643495648364647,8.150087308346488e-05,43.4,24.640000000000146,0.4052064749511753,0.00028276502690174345
119,BG110,24/02/12,110.0,Soay,8319.0,1.0,0.0,12.3,112.0,161.0,0.24657794733006586,0.00441048232769276,0.6114489494167386,6.79764184724586e-05,3.772727272727273,5.448347107438017,566.0146069538927,62828.264909118945,0.08511890133763947,0.00019344296817018996,34.45454545454545,2.611570247933824,0.34962029142476125,0.0001307660789195369
121,BG116,29/02/12,12.0,Soay,8325.0,2.0,0.0,14.2,115.0,167.0,0.2665152119421744,0.00819097455525114,0.6114262780709707,0.0002504002105727654,11.65625,7.4755859375,1315.2713857962212,359712.3651395631,0.10098955451071832,0.0006584709532547837,33.1875,18.08984375,0.3749613933418855,0.0013102384405718759
128,BG155,14/02/12,34.0,Soay,8359.0,2.0,0.0,15.1,113.0,167.0,0.5802463039627735,0.01619003984310652,0.6383347034516609,0.00013459908393809172,11.9375,15.43359375,1160.175285099586,148102.54164845124,0.07331399408571945,0.0004977376711511432,49.75,45.9375,0.40140536470731863,0.00047845969122981
130,BG164,9/2/2012,147.0,Soay,8458.0,1.0,0.0,9.6,99.0,145.0,0.29994008705869835,0.022481409461731886,0.6168626380258514,8.133293287085816e-05,16.341463414634145,11.395597858417625,1844.6334759183849,279239.97375818144,0.11351912137042644,0.0008130649817906408,31.195121951219512,15.961927424152325,0.4056973356274825,0.0008701736395277883
131,BG168,3/3/2012,45.0,Soay,8460.0,1.0,0.0,9.2,100.0,144.0,0.31074808236109014,0.004144221390594753,0.629534307504226,3.4636118797340554e-05,13.526315789473685,12.880886426592808,1623.579249088703,175134.06568248334,0.12029034543356236,0.00014880258462241823,31.63157894736842,1.495844875346321,0.5018527008503927,0.0003210615550765838
132,BG172,14/03/12,75.0,Soay,8464.0,1.0,0.0,11.4,108.0,156.0,0.27368773841526217,0.0006661154243831763,0.5616259872518377,0.0003058388818751867,3.1875,6.02734375,542.9935897435897,51424.73019395135,0.12788202993186198,0.00043208742114928325,32.875,1.234375,0.31557081894811084,0.0007779242101231543
133,BG181,20/03/12,85.0,Soay,8474.0,2.0,0.0,15.8,115.0,170.0,0.16160997682523193,0.00022476668649238363,0.615538621977471,1.8565988740570916e-05,18.2,2.959999999999991,1108.1423896751685,70787.8912312258,0.109048497402221,5.490366307717709e-05,28.6,0.6399999999999636,0.38924158278147514,0.00010875843023507858
134,BG055,25/02/12,21.0,Soay,8493.0,1.0,0.0,9.5,101.0,148.0,0.3683945152032196,0.01673548840685431,0.6231997896445393,9.260853682542998e-05,10.583333333333334,3.826388888888895,2810.1236164298666,1035218.9418817038,0.05755422365646509,0.0001437494385739749,41.75,4.604166666666667,0.3546500856951418,0.0002325689228833324
