,Sheep,Image,Lacunarity,Entropy,FociCount,FociSize,Scale,Directionality,TissueToSinusoid,Lobular_collapse,Interface_hepatitis,Confluent_necrosis,Ln_ap_ri,Portal_inflammation,BD_hyperplasia,Fibrosis,TawfikTotal,Vessels,Vacuol,Pigment,Mean_hep_size,Std_hep_size,Min_hep_size,Max_hep_size
96,6.0,117.0,0.1287664934201953,0.603459986912698,9.0,1461.7777777777774,31.0,0.18745952998177884,0.3642861242859542,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
97,6.0,157.0,0.16746445554980924,0.5633652704003851,12.0,544.6666666666666,33.0,0.09762698169391597,0.32927137524615696,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
98,6.0,130.0,0.11584597218758913,0.5705210540588962,10.0,1061.6,31.0,0.225508228260236,0.3042157400672885,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
99,6.0,156.0,0.146328668889292,0.5914589752808184,17.0,603.2352941176471,31.0,0.14054926741254806,0.3740872452697853,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
100,6.0,90.0,0.0940575454634052,0.6274430626480626,14.0,1115.5714285714287,31.0,0.14053478588093699,0.3906740733385939,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
101,6.0,116.0,0.10111905449474133,0.6062000170744342,16.0,1443.6875,33.0,0.2427410227981033,0.3564476791194507,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
102,6.0,35.0,0.10199423519792376,0.6048896528120773,15.0,1375.6,33.0,0.14087134041254756,0.3531027422552493,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
103,6.0,88.0,0.09454276888747824,0.6110372450226615,9.0,557.3333333333334,31.0,0.1323000594626222,0.3618812190690165,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
104,6.0,20.0,0.09596618788003264,0.6044855119805029,6.0,658.8333333333334,31.0,0.06934836184140772,0.3551399787530953,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
105,6.0,48.0,0.09712791932890344,0.611989100434073,9.0,763.4444444444445,33.0,0.18450102128625293,0.3618453912573612,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
106,6.0,6.0,0.11092656693577692,0.6027662000941452,12.0,1006.6666666666664,35.0,0.2498188877243443,0.3402283890032412,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
107,6.0,2.0,0.10416730703278963,0.6044619641296486,11.0,1238.0,33.0,0.13570305588402434,0.34736563907944396,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
108,6.0,132.0,0.12878001906181716,0.5824540195661587,11.0,1549.909090909091,31.0,0.20270285143776606,0.33154340450136915,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
109,6.0,3.0,0.10874821106833964,0.5853959363978778,9.0,706.0,31.0,0.1345648504731879,0.3248534845267204,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
110,6.0,60.0,0.10071723101685727,0.6024920013211236,9.0,1275.4444444444443,33.0,0.18512603915655226,0.3434393992088661,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
111,6.0,4.0,0.11528730951687186,0.5891877646023815,8.0,723.125,33.0,0.07435224520821608,0.33659173952857113,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
112,6.0,18.0,0.09872924456350084,0.6197733709240123,7.0,755.0,33.0,0.1484414897484862,0.3752406461873274,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
113,6.0,77.0,0.13202159059183802,0.5934304788775793,11.0,888.1818181818181,31.0,0.029287540748854982,0.3477172409249621,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
114,6.0,5.0,0.10288677907412776,0.6043645572052531,7.0,1443.5714285714291,33.0,0.08893197567922931,0.3518270201326976,1.0,0.0,2,0.0,3.0,1.0,2.0,9.0,none,yes Lipid,none,23.69,2.07,20.77,25.6
