,Sheep,Lobular_collapse,Interface_hepatitis,Confluent_necrosis,Ln_ap_ri,Portal_inflammation,BD_hyperplasia,Fibrosis,TawfikTotal,Vessels,Vacuol,Pigment,Mean_hep_size,Std_hep_size,Min_hep_size,Max_hep_size,Unnamed: 0,Image,Lacunarity,Entropy,FociCount,FociSize,Scale,Directionality,TissueToSinusoid,CurrTag,DeathDate,Category,ID,Sex,AgeAtDeath,Weight,Foreleg,Hindleg
30,3.0,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86,44.0,1.0,0.1269138436271775,0.5703741545533605,4.0,847.0,29.0,0.18204535175992245,0.3094168406176797,BO045,8/3/2012,Soay,6623.0,2.0,4.0,,,
31,3.0,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86,45.0,115.0,0.11011325220359763,0.5520612251347728,10.0,456.8,33.0,0.19736789845199354,0.2730285509804473,BO045,8/3/2012,Soay,6623.0,2.0,4.0,,,
32,3.0,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86,46.0,130.0,0.12066586733726806,0.5475486229656726,7.0,543.5714285714286,31.0,0.13855311395999526,0.2763541389864351,BO045,8/3/2012,Soay,6623.0,2.0,4.0,,,
33,3.0,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86,47.0,53.0,0.14413863547056482,0.5714504573124963,7.0,599.8571428571429,31.0,0.18655156588975724,0.3131535598804222,BO045,8/3/2012,Soay,6623.0,2.0,4.0,,,
34,3.0,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86,48.0,98.0,0.13781138104825694,0.5535694176022798,13.0,532.0,31.0,0.2276536556886055,0.28836520113072817,BO045,8/3/2012,Soay,6623.0,2.0,4.0,,,
35,3.0,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86,49.0,142.0,0.16515584088048474,0.5509897745390048,10.0,958.3,31.0,0.12420287785510775,0.3031782064582849,BO045,8/3/2012,Soay,6623.0,2.0,4.0,,,
36,3.0,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86,50.0,33.0,0.1148925792032835,0.5807852793905701,8.0,535.875,33.0,0.3053508930258087,0.3150458798354239,BO045,8/3/2012,Soay,6623.0,2.0,4.0,,,
37,3.0,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86,51.0,99.0,0.10222666110502417,0.5817741593726631,7.0,557.2857142857143,31.0,0.24524616961285856,0.3106288696792068,BO045,8/3/2012,Soay,6623.0,2.0,4.0,,,
38,3.0,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86,52.0,20.0,0.14316755774637044,0.5389481278789849,9.0,485.66666666666674,31.0,0.23141963041163816,0.268409414279961,BO045,8/3/2012,Soay,6623.0,2.0,4.0,,,
39,3.0,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86,53.0,140.0,0.12874056728315486,0.5445050225339689,7.0,533.8571428571429,33.0,0.13244863510554405,0.2757358501047797,BO045,8/3/2012,Soay,6623.0,2.0,4.0,,,
40,3.0,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86,54.0,131.0,0.1011139243709455,0.5782808155216744,11.0,583.1818181818181,31.0,0.12842781557905195,0.3058171188059787,BO045,8/3/2012,Soay,6623.0,2.0,4.0,,,
41,4.0,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29,55.0,112.0,0.13941694215405204,0.5734695407262504,10.0,3093.5,35.0,0.14892696027320498,0.3373320643120216,AW196,26/02/12,Soay,5604.0,1.0,8.0,,,
42,4.0,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29,56.0,34.0,0.1518933882690022,0.6038417863017287,13.0,2454.692307692308,33.0,0.1787627570672151,0.4142502071251036,AW196,26/02/12,Soay,5604.0,1.0,8.0,,,
43,4.0,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29,57.0,45.0,0.09463424884797572,0.5727039774651986,12.0,2570.1666666666665,37.0,0.26923813360002385,0.29939054001265697,AW196,26/02/12,Soay,5604.0,1.0,8.0,,,
44,4.0,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29,58.0,2.0,0.1729169307842003,0.5405391159949597,10.0,3960.7,35.0,0.28159341337454,0.2958651367961935,AW196,26/02/12,Soay,5604.0,1.0,8.0,,,
45,4.0,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29,59.0,87.0,0.11484059213475795,0.5925957704681747,20.0,1389.4,35.0,0.1627116538473474,0.3586696434938589,AW196,26/02/12,Soay,5604.0,1.0,8.0,,,
46,4.0,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29,60.0,13.0,0.1238701537101988,0.5795046708134594,18.0,2117.777777777778,35.0,0.13071610637920072,0.34373814652858786,AW196,26/02/12,Soay,5604.0,1.0,8.0,,,
47,4.0,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29,61.0,86.0,0.10755102063008476,0.6037346827473988,12.0,3169.75,35.0,0.2354272482855584,0.3665949600848857,AW196,26/02/12,Soay,5604.0,1.0,8.0,,,
48,4.0,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29,62.0,85.0,0.11247385653563376,0.5738435435856164,9.0,977.0,37.0,0.27175007679533514,0.3155350121600061,AW196,26/02/12,Soay,5604.0,1.0,8.0,,,
49,4.0,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29,63.0,73.0,0.08724817029353378,0.6012891902068804,13.0,2992.0,33.0,0.2646571098541991,0.35071868941217754,AW196,26/02/12,Soay,5604.0,1.0,8.0,,,
50,4.0,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29,64.0,47.0,0.16337762778167045,0.5328137005529199,11.0,2277.5454545454545,35.0,0.16572500593371942,0.29154311839784064,AW196,26/02/12,Soay,5604.0,1.0,8.0,,,
51,4.0,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29,65.0,113.0,0.09614228737983838,0.5891050411124779,17.0,1900.3529411764707,33.0,0.0821523875386944,0.3326950453031551,AW196,26/02/12,Soay,5604.0,1.0,8.0,,,
52,4.0,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29,66.0,60.0,0.12077258444501653,0.5907114909185216,14.0,2699.642857142857,35.0,0.20188486805993144,0.3640330523480873,AW196,26/02/12,Soay,5604.0,1.0,8.0,,,
53,4.0,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29,67.0,72.0,0.10767753748992698,0.5366410524292816,15.0,1103.0666666666666,33.0,0.3774746697958263,0.26623069878046823,AW196,26/02/12,Soay,5604.0,1.0,8.0,,,
54,4.0,1.0,0.0,2,0.0,4.0,3.0,3.0,13.0,plebectas,no,none,24.34,1.53,21.43,25.29,68.0,1.0,0.08925609902639475,0.5801256955556789,19.0,1593.052631578947,35.0,0.2993844837710657,0.3220995244541953,AW196,26/02/12,Soay,5604.0,1.0,8.0,,,
