,Sheep,Image,Lacunarity,Entropy,FociCount,FociSize,Scale,Directionality,TissueToSinusoid,CurrTag,DeathDate,Category,ID,Sex,AgeAtDeath,Weight,Foreleg,Hindleg
2996,113,75,0.09673997980252856,0.6352349042467368,9,615.6666666666666,31,0.07861506666050525,0.4297543414412947,BG022,25/02/12,Soay,8232,2,0.0,,,
2997,113,59,0.08755372983797527,0.6396810892817438,3,479.66666666666674,31,0.18010453894625705,0.4299466197587143,BG022,25/02/12,Soay,8232,2,0.0,,,
2998,113,135,0.08057368533852513,0.6435523490923836,10,434.6,33,0.1945466283960808,0.42868405801464665,BG022,25/02/12,Soay,8232,2,0.0,,,
2999,113,124,0.0852982149624968,0.638420915697329,5,839.6,31,0.13297210950250402,0.4198511724739411,BG022,25/02/12,Soay,8232,2,0.0,,,
3000,113,76,0.09913992345757892,0.6279124083456548,9,1003.0,31,0.09704928127849732,0.4168369766035021,BG022,25/02/12,Soay,8232,2,0.0,,,
3001,113,34,0.08150840051752442,0.6367342424503111,8,967.125,33,0.2616544624732,0.4079900535925152,BG022,25/02/12,Soay,8232,2,0.0,,,
3002,113,92,0.08640034121074648,0.6348710084157478,6,1240.6666666666667,33,0.17148313754096034,0.4106947122654867,BG022,25/02/12,Soay,8232,2,0.0,,,
3003,113,16,0.07043350086172201,0.6315122301637119,15,740.5333333333333,33,0.24158910966484884,0.3833533340315162,BG022,25/02/12,Soay,8232,2,0.0,,,
3004,113,109,0.08458211708044998,0.6339437345883784,11,576.0,31,0.14529363632816658,0.40790829066559775,BG022,25/02/12,Soay,8232,2,0.0,,,
3005,113,122,0.07830415901050905,0.6394341227877873,11,943.1818181818179,33,0.14539568630730434,0.4160581663563087,BG022,25/02/12,Soay,8232,2,0.0,,,
3006,113,136,0.0769873303977056,0.6419441093680213,12,678.5,31,0.10019416555975093,0.4243954354304621,BG022,25/02/12,Soay,8232,2,0.0,,,
3007,113,64,0.09377816317210777,0.6301322199238024,8,1071.5,33,0.15965215069303326,0.4124293623081871,BG022,25/02/12,Soay,8232,2,0.0,,,
3008,113,33,0.08470760019429986,0.635173572303251,6,782.1666666666665,33,0.18651406318519306,0.4086504956736113,BG022,25/02/12,Soay,8232,2,0.0,,,
3009,113,110,0.08542743130977216,0.6322488041200508,6,862.0,31,0.1080769023079666,0.402093204953094,BG022,25/02/12,Soay,8232,2,0.0,,,
3010,113,61,0.08725465397370412,0.639958931013924,0,,33,0.16422866697588848,0.4272297682701181,BG022,25/02/12,Soay,8232,2,0.0,,,
3011,114,122,0.061719865925292376,0.6498530910363542,3,339.6666666666667,33,0.3489406131436835,0.4170138879185635,BG138,26/02/12,Soay,8343,1,0.0,,,
3012,114,124,0.07005493261077612,0.6477769199675925,4,586.25,35,0.3825047192285901,0.41846481798321417,BG138,26/02/12,Soay,8343,1,0.0,,,
3013,114,136,0.07769921093638793,0.6367957930211425,3,502.66666666666674,35,0.2193952290463844,0.3995350003637296,BG138,26/02/12,Soay,8343,1,0.0,,,
3014,114,31,0.09479774814656984,0.6369938254932656,6,811.6666666666665,33,0.11906723932291928,0.4315936169076383,BG138,26/02/12,Soay,8343,1,0.0,,,
3015,114,63,0.09186038261892136,0.6269504119771534,4,604.25,33,0.13793097310722827,0.3853319251185727,BG138,26/02/12,Soay,8343,1,0.0,,,
