,Sheep,Image,Entropy
874,39,2,0.654643043489139
875,39,3,0.6534687788496394
876,40,23,0.6385538857888239
877,40,36,0.6328174129636749
878,40,104,0.6305825645305553
879,40,105,0.6370497465049705
880,40,48,0.6397577188214767
881,40,2,0.6358928545002344
882,40,35,0.6309611217537432
883,40,1,0.6336037986002054
884,40,64,0.6519404023344688
885,40,65,0.6321702705207579
886,40,92,0.6335290195661514
887,40,50,0.6260113345196857
888,40,118,0.6476892823801883
889,40,78,0.6324412720087759
890,40,117,0.6469430414517711
891,40,12,0.6302296959144138
892,40,51,0.6303504987549897
893,40,63,0.6464763882687223
894,40,116,0.6341259172650131
895,40,91,0.637842370377343
896,40,62,0.6368743548647875
897,40,90,0.6188610155008618
898,40,119,0.6364946143191064
899,41,67,0.6202056981907678
900,41,10,0.623738641817074
901,41,30,0.6327532396258845
902,41,19,0.617329271406793
903,41,133,0.6108470058827794
904,41,181,0.6239065420100788
905,41,215,0.6165109780943833
906,41,216,0.6394809332606679
907,41,66,0.6180806429920946
908,41,95,0.6143620970851852
909,41,68,0.6107405097251888
910,41,125,0.6302322691942743
911,41,201,0.6431337059670946
912,41,53,0.6312116247563782
913,41,54,0.6121959384916047
914,41,116,0.6205456903996043
915,41,11,0.6229850116720155
916,41,142,0.6204992977634955
917,41,155,0.6329179276333359
918,41,171,0.6224092709397125
919,41,20,0.6307078816758692
920,41,80,0.6173962041243748
921,41,124,0.6282146403317331
922,41,126,0.6299682062035582
923,41,81,0.6085510313401803
924,41,1,0.6333947174848312
925,41,134,0.6457611270904171
926,41,96,0.607179393856778
927,41,69,0.62940749372205
928,41,157,0.6436556363069208
929,41,203,0.6394179186564937
930,41,21,0.6347689156169751
931,42,129,0.6392614993128067
932,42,131,0.6404064267856091
933,42,99,0.6362377362081097
934,42,44,0.6164257862384083
