,Sheep,Image,Count,meanSize,stdSize
310,15,125,10,1806.1,1356.5319347512611
311,15,29,12,2047.0833333333333,1338.1522993997692
312,15,82,11,1951.7272727272727,2000.3966920638102
313,15,83,11,1375.2727272727273,1366.5416263432762
314,15,42,9,845.4444444444445,497.27057493014604
315,15,16,5,2294.0,1252.6664360475218
316,15,123,9,1406.6666666666667,992.0931855873665
317,15,108,9,2004.888888888889,2504.6003204966855
318,16,9,11,1132.8181818181818,1130.7135975433484
319,16,44,6,1109.6666666666667,1430.2282646098452
320,16,71,10,2268.6,2426.4886647169815
321,16,72,12,1474.5833333333333,1345.1243101372536
322,16,46,12,3103.6666666666665,3151.0942631973985
323,16,22,15,1044.1333333333334,942.6575812857793
324,16,111,13,1007.0,957.3795967680178
325,16,75,13,886.6153846153846,685.033917011137
326,16,112,4,913.5,353.31041592344826
327,16,33,9,1443.5555555555557,1606.8798690568772
328,16,76,8,1237.25,918.0007829517358
329,16,8,12,1879.5833333333333,2241.432445942153
330,16,74,10,1516.8,1373.575174499015
331,16,57,13,1510.1538461538462,1757.8493786072295
332,16,86,11,953.9090909090909,629.0319336517972
333,16,73,13,858.0,384.59489176174816
334,16,21,10,1648.9,1498.1639730016204
335,16,34,6,756.5,206.19145633771217
336,16,103,12,1350.8333333333333,1397.8260402814396
337,17,44,13,1852.6923076923076,1176.9888166657374
338,17,46,4,4428.25,4231.367118024623
339,17,74,7,2356.4285714285716,1164.6749217998076
340,17,65,17,1167.1176470588234,1086.4495268508629
341,17,89,13,1556.923076923077,1103.332606350726
342,17,136,10,1051.8,867.8921361551791
343,17,91,13,2724.3076923076924,2259.927479592598
344,17,111,13,2191.230769230769,1795.3404285644183
345,17,2,17,1690.764705882353,1627.667964745945
346,17,1,12,2549.25,3815.03680901858
347,17,86,15,1738.0666666666666,2038.572522352072
348,17,3,12,1390.0833333333333,805.9009925060411
349,17,123,15,1338.5333333333333,1763.9841218736135
350,17,100,10,1342.7,1100.3896628013188
351,17,135,12,1145.0833333333333,631.9142160047429
352,17,122,13,1221.7692307692307,957.9926251399252
353,17,88,13,1378.6153846153845,1714.1969431087296
354,17,124,7,986.1428571428571,814.1480084062338
355,17,45,7,2199.1428571428573,708.5958809144882
356,17,75,13,1933.3846153846155,2362.90373964752
357,17,109,16,1192.8125,1174.8357980346657
358,17,87,15,2119.2,1478.6768048946103
359,17,43,9,1685.888888888889,1228.4382537229442
360,17,90,9,2994.3333333333335,3561.515813370606
361,17,30,9,1395.111111111111,1058.2723283671621
362,17,121,4,2100.0,1305.5487352067712
363,17,27,6,2363.1666666666665,1384.1066212141639
364,18,69,13,1328.0,970.6448292838038
365,18,12,20,890.75,632.3512374464053
366,18,68,12,680.3333333333334,312.5324872002198
367,18,96,15,1367.4,894.2102511900282
368,18,97,13,638.4615384615385,352.26205616418264
369,18,1,11,2105.181818181818,1965.1351939697463
370,18,95,7,1411.142857142857,1622.2846701551514
371,18,45,7,1150.142857142857,565.2388694984066
372,18,46,7,2346.4285714285716,1155.2967283829055
373,18,58,9,1390.0,1163.8242517188276
374,18,24,11,1098.0,827.3633916352486
375,19,110,8,412.125,140.82030881588068
376,19,111,7,1300.142857142857,1284.0474433348224
377,19,100,7,513.8571428571429,283.03025005991776
378,19,3,16,569.9375,312.8189310028247
379,19,1,6,589.6666666666666,346.88598831444443
380,19,6,9,706.1111111111111,490.06177489157074
381,19,58,5,287.4,19.31424344881259
382,19,30,11,424.27272727272725,188.38504616830582
383,19,33,9,424.8888888888889,119.51238377901768
384,19,97,9,720.1111111111111,480.8012859209196
385,19,31,12,454.3333333333333,226.07201409187198
386,19,5,12,694.3333333333334,438.01680586733454
387,19,19,12,622.6666666666666,390.8205754847386
388,19,86,6,777.3333333333334,206.995705806237
389,19,122,5,1424.2,1440.7602715233372
390,19,18,8,1091.5,1073.6107301997313
391,19,47,3,1220.0,1031.895666560659
392,19,4,9,526.4444444444445,275.58265995729084
393,19,44,7,503.57142857142856,262.5239347688713
394,19,48,8,989.75,798.0914342981009
395,19,59,6,461.3333333333333,210.3256733945927
396,19,60,8,451.375,192.8976007497242
397,19,70,4,352.0,53.24941314230608
398,19,2,16,530.1875,361.6317565476655
399,19,20,10,371.7,130.0815513437628
400,19,71,9,430.22222222222223,177.5398407730738
401,19,84,4,637.75,280.7333031544352
402,19,112,6,778.0,475.27009864567185
403,19,124,2,661.0,71.0
404,19,98,8,479.25,285.29316062604795
405,19,125,6,533.8333333333334,214.90495315112884
406,19,109,7,472.57142857142856,195.12842448197117
407,19,85,15,560.0666666666667,320.0315539998448
408,19,61,6,459.3333333333333,223.53871153685117
409,19,72,4,328.5,46.42467016576423
410,19,99,12,592.75,308.26453061183236
411,19,46,9,393.8888888888889,125.61709406361722
412,19,34,10,551.6,216.60572476275874
413,19,87,6,740.6666666666666,275.77627808706745
414,19,17,10,659.1,546.0841418682655
415,19,123,10,1197.2,1409.1007628980972
416,19,45,6,534.1666666666666,272.2752386015951
417,19,134,8,690.0,689.5627237605003
418,19,135,8,699.375,533.7899721566527
419,19,73,10,448.3,194.37697908960314
420,20,114,14,1087.2857142857142,719.1664250636118
421,20,102,15,1559.7333333333333,2541.5215250361784
422,20,40,11,1308.909090909091,1578.3797477474086
423,20,65,10,705.7,637.2288521402652
424,20,103,8,558.375,222.49715588069884
425,20,1,16,1103.75,1028.1786384184413
426,20,90,13,677.8461538461538,377.5579112286762
427,20,76,11,1195.3636363636363,1144.531446228088
428,20,13,8,2491.75,2673.3436811416523
429,20,39,12,1334.0,1331.4946488814742
430,20,89,13,643.6923076923077,310.29325697707935
431,20,15,10,721.8,434.3617846910568
432,20,77,6,526.3333333333334,337.4871190957598
433,20,64,11,593.9090909090909,495.7659738489989
434,21,28,9,3610.8888888888887,2643.8503674436834
435,21,55,9,3045.6666666666665,2218.5751683857316
436,21,91,11,4067.818181818182,2927.577180666691
437,21,56,11,2337.4545454545455,1668.7395005396008
438,21,29,13,1823.8461538461538,1359.6715579735167
439,21,41,13,2828.0,3928.586357613992
440,21,68,14,3492.4285714285716,2789.146713200132
441,21,113,9,1984.5555555555557,839.2801295172364
442,21,1,10,4096.8,3245.2472879581924
443,21,42,12,2622.3333333333335,2122.9365798869785
444,21,2,13,2425.5384615384614,1571.4485534732016
445,21,3,9,2103.5555555555557,1657.406549141098
446,21,83,7,5712.428571428572,4184.236228551936
447,21,114,12,2126.0,1625.5623129653732
448,21,92,12,2368.8333333333335,2003.070635854418
449,21,93,13,1863.0,1168.5908015804598
450,21,106,7,4191.428571428572,4155.448638565407
451,21,27,9,3534.8888888888887,3805.681642680073
452,21,40,9,3195.0,2042.1628512709535
453,21,54,12,2361.5833333333335,1970.075017959694
454,21,15,10,2272.1,1569.0568791474707
455,21,16,11,1643.090909090909,2389.90971508988
456,21,112,8,948.0,497.8631840174568
457,21,17,11,2787.7272727272725,2368.2740585770316
458,22,19,16,926.6875,910.6810445176455
459,22,93,6,503.1666666666667,143.04243737048418
460,22,84,8,1043.5,667.2756177172968
461,22,73,13,794.7692307692307,464.70588777223116
462,22,1,13,1053.4615384615386,846.245337711017
463,22,2,11,1866.909090909091,2089.9240288299934
464,22,53,11,695.5454545454545,404.58584068073714
465,22,103,13,1459.076923076923,1422.9255595177824
466,22,17,13,1033.2307692307693,650.4499216632407
467,22,54,10,1534.0,932.1636122484078
468,22,31,17,979.3529411764706,768.3265957816812
469,22,32,18,868.4444444444445,632.7549308137676
470,22,72,8,1859.0,1561.2626300529967
471,22,3,11,1160.5454545454545,647.702283409503
472,22,55,13,1020.6923076923077,632.4474298147554
473,22,92,6,1036.8333333333333,1377.3218477255862
474,22,56,12,1330.9166666666667,806.8545364906586
475,22,41,13,1251.0,705.948679764711
476,22,71,13,942.3076923076923,960.133995826014
477,22,52,16,713.875,395.54011727636424
478,23,56,10,900.1,646.1570165215263
479,23,60,7,1354.857142857143,1062.3313215445987
480,23,64,9,1441.2222222222222,766.7570639138113
481,23,22,10,1625.6,1530.2976965283585
482,23,69,9,3171.777777777778,2587.1951684220066
483,23,26,10,1788.8,1456.2840244952215
484,23,1,4,1742.0,786.3819046748215
485,23,43,7,3075.5714285714284,4368.997199657177
486,23,13,12,1413.75,1459.8621010789568
487,23,28,10,1490.5,1093.8729588028036
488,23,67,10,2192.7,1690.1386954921775
489,23,58,11,1922.1818181818182,1970.3923844656756
490,23,59,7,2693.8571428571427,2255.9693785011123
491,23,73,15,2160.733333333333,1642.029129529139
492,23,12,10,3306.2,3076.3836171713046
493,23,41,8,1689.625,1145.6120566644713
494,23,57,7,2517.8571428571427,3002.5829560835227
495,23,66,11,1609.5454545454545,1342.5891108828332
496,23,42,7,1611.7142857142858,1182.1591280710193
497,23,44,11,2029.6363636363637,2285.4783574372454
