,Sheep,Image,Lacunarity
534,26,5,0.0953366779098801
535,26,19,0.10619226657584341
536,26,8,0.07834110859028731
537,26,25,0.09869311054918443
538,26,47,0.0668880345960088
539,26,9,0.10536600688054718
540,26,44,0.1329837567719721
541,26,38,0.07870470635276713
542,26,43,0.07960932266772075
543,26,50,0.08018285545572332
544,26,27,0.07689811255781209
545,26,33,0.1254059660499403
546,26,40,0.06258865310903836
547,26,15,0.06457116149997004
548,26,41,0.0764031519021995
549,26,22,0.10771661481313709
550,26,45,0.0921436320678425
551,26,3,0.10338680223851492
552,26,7,0.10366198710179783
553,26,34,0.093452361117135
554,26,37,0.12826464557952386
555,26,28,0.07773912269559552
556,26,12,0.06561495462088365
557,26,35,0.06187806411751355
558,26,18,0.0782377760803546
559,26,11,0.12612779749297734
560,26,4,0.08485954761557485
561,26,32,0.10908469747111045
562,26,21,0.14505006053147362
563,26,20,0.0843536106570394
564,26,6,0.10670960602331644
565,26,29,0.09186694409775997
566,26,36,0.10379140776660752
567,26,48,0.07378994634623498
568,26,49,0.09514544408176163
569,26,52,0.08775087241587326
570,26,13,0.07000828938647703
571,27,98,0.10000031396320486
572,27,58,0.07353346948178198
573,27,124,0.11885767236584352
574,27,37,0.08613654233556138
575,27,110,0.08942701377011394
576,27,1,0.11694796940725904
577,27,100,0.08796698358023802
578,27,78,0.12215358293746854
579,27,3,0.10285674594537479
580,27,38,0.0666071056480156
581,27,122,0.08538085641724473
582,27,87,0.08708926507566313
583,27,2,0.07392878410938976
584,27,57,0.07370317673208229
585,27,88,0.0936191498926715
586,27,36,0.1192088535233198
587,27,18,0.09467140642274118
588,27,86,0.0745793129156432
589,27,49,0.07384018876859415
590,27,101,0.07133367286581786
591,27,16,0.11779096639842555
592,27,121,0.07887189348811105
593,27,85,0.10614505730831943
594,27,109,0.07823314215613887
595,27,20,0.07506076664493605
596,27,120,0.06027292060787894
597,27,99,0.06908371090827614
598,27,17,0.07901626720172275
599,27,39,0.07079599547436691
600,27,19,0.06921262041620431
601,27,4,0.06584292601976577
602,27,123,0.0812353900461536
603,27,79,0.08795987322056815
604,28,87,0.11420445630624482
605,28,34,0.09178665051393006
606,28,48,0.049106380433981286
607,28,22,0.1191558823323099
608,28,68,0.11190825483703204
609,28,49,0.11444175620168535
610,28,51,0.07965284617043371
611,28,72,0.07302725546703763
612,28,69,0.10096832174762255
613,28,23,0.13759296957979306
614,28,11,0.10796983325806384
615,28,71,0.1265878273245601
616,28,50,0.10014233065608837
617,28,37,0.07577441805542968
618,28,84,0.06850766442207473
619,28,70,0.0982122934338589
620,28,85,0.09721288449703848
621,28,35,0.11850180246450381
622,28,1,0.04785904929057124
623,28,10,0.09489632709237812
624,28,2,0.1005786338401641
625,28,36,0.10500805789488013
626,28,86,0.11814706498503236
627,29,141,0.09738090611772537
628,29,204,0.10329784585052112
629,29,186,0.08019225111035212
630,29,119,0.0699079327508284
631,29,206,0.10164383491087979
632,29,188,0.06587764429787782
633,29,205,0.07413529468865512
634,29,163,0.06796938776773355
635,29,142,0.09189879564517481
636,29,189,0.09661742334245624
637,30,18,0.06990212041570414
638,30,66,0.05722649940787399
639,30,62,0.06785352965760162
640,30,19,0.058185154801550974
641,30,1,0.07210098972808102
642,30,2,0.05686805835099521
643,30,128,0.06613082365978125
644,30,4,0.07745910756874722
645,30,33,0.07327921358387582
646,30,64,0.06684420428540591
647,30,49,0.0938458759730208
648,30,35,0.08785518396519228
649,30,89,0.06544834026384205
650,30,65,0.08633317896548388
651,30,112,0.06206451910007143
652,30,111,0.08405413568802553
653,30,48,0.061693538168901337
654,30,113,0.06178630125529176
655,30,141,0.0807519009297026
656,30,21,0.056489330888759334
657,30,114,0.09290918271237501
658,30,77,0.06084738121368868
659,30,99,0.059240537531710546
660,30,47,0.05784977041914993
661,30,34,0.06748924205895473
662,30,126,0.06413645661201516
663,30,154,0.08029123985680305
664,30,3,0.08432409877602179
665,30,76,0.07649623285656713
666,30,152,0.07223541056516719
667,30,140,0.06038355004197405
668,30,63,0.058758465986042556
669,30,79,0.08996304631651421
670,30,139,0.08147947039393326
671,30,153,0.07458296722660247
672,30,155,0.07681225138948174
673,30,78,0.0749839550445622
674,30,127,0.06670578792707524
675,30,20,0.07044304479121576
676,30,46,0.10952713253898416
677,30,90,0.050176504940043894
678,30,100,0.07855884353502823
679,31,98,0.10109564899343748
680,31,121,0.1163957842430006
681,31,137,0.10496944081257076
682,31,123,0.10175787573770809
683,31,67,0.07486120512072787
684,31,32,0.0880976695475714
685,31,33,0.09219907986066175
686,31,66,0.11223990830691967
687,31,80,0.13099824915628638
688,31,20,0.14395637512437182
689,31,79,0.07075102030693
690,31,122,0.08256709823257022
691,31,90,0.09150975859777154
692,31,51,0.09917675861043464
693,31,65,0.11127466176738575
694,31,19,0.13270948358605783
695,32,29,0.091517292045306
696,32,17,0.1124950263907563
697,32,30,0.07788061290627522
698,32,49,0.05542589856825048
699,32,2,0.09383609795607825
700,32,18,0.11522830262966723
701,32,13,0.11113172666260823
702,32,19,0.09821230724238948
703,32,1,0.08120280955680807
704,33,40,0.06300548756359618
705,33,8,0.06782133564374622
706,33,53,0.051410548665394254
707,33,72,0.06276466995870647
708,33,9,0.051879845448642735
709,33,59,0.06596332369503716
710,33,58,0.05738195770371928
711,33,74,0.057874156007796475
712,33,11,0.05697403154242911
713,33,1,0.10685267881832293
714,33,10,0.06374351069543828
715,33,41,0.04958047672879295
716,33,60,0.04759823756085271
717,33,26,0.05379430640466331
718,33,73,0.06798204346601243
719,33,25,0.04543149577445724
720,33,27,0.05392597801504053
721,34,88,0.06413904400800562
722,34,25,0.07053904040796592
723,34,89,0.06686963800031583
724,34,39,0.0801592750853461
725,34,10,0.06281183247069322
726,34,1,0.10372945964299222
727,34,37,0.07755919627145826
728,34,68,0.12536869117373178
729,34,12,0.045657434441168966
730,34,91,0.07246645430173364
731,34,90,0.04827074102815997
732,34,52,0.04559381914284464
733,34,51,0.07757605756792346
734,34,26,0.052172806507359795
735,34,53,0.11047086575909267
736,34,2,0.06963954956271927
737,35,123,0.09039235278819358
738,35,122,0.07896261820175156
739,35,56,0.0641129450940412
740,35,59,0.09421914081220562
741,35,108,0.07519344921871912
742,35,44,0.06240832418922376
743,35,17,0.10158303780530357
744,35,73,0.10205273000491527
745,35,121,0.0732039608642211
746,35,2,0.0710573314884046
747,35,58,0.09721716272549659
748,35,1,0.05804196404173572
749,35,72,0.09392532925394792
750,35,57,0.10011704660756797
751,35,15,0.08438404735726629
752,35,18,0.09321087512738002
753,35,84,0.1091329568185897
754,35,70,0.1279278326964822
755,35,110,0.07640553658151
756,35,16,0.07584657251877061
757,35,71,0.06487790566443113
758,35,43,0.10217354333544461
759,35,30,0.0683757981757479
760,35,107,0.0616626349880164
761,35,55,0.05620214491257012
762,35,42,0.060025834596144204
