,Sheep,Image,Lacunarity,Entropy,FociCount,FociSize,Scale,Directionality,TissueToSinusoid,Lobular_collapse,Interface_hepatitis,Confluent_necrosis,Ln_ap_ri,Portal_inflammation,BD_hyperplasia,Fibrosis,TawfikTotal,Mean_hep_size,Min_hep_size,Max_hep_size,ID,Sex,AgeAtDeath,Weight,Foreleg,Hindleg,BirthYear,E,CES,RES
80,4.0,59.0,0.13205223794347193,0.5807401565693349,13.0,2209.923076923077,35.0,0.2463959353791477,0.3483542275147572,1.0,0.0,2.0,0.0,4.0,3.0,3.0,13.0,24.34,21.43,25.29,5604.0,1.0,8.0,,,,2003.0,0.258065,6.011381,-0.21442043888888884
81,6.0,32.0,0.10166358568075892,0.6034737824861999,10.0,863.7,33.0,0.15110034463844654,0.34911397008589595,1.0,0.0,2.0,0.0,3.0,1.0,2.0,9.0,23.69,20.77,25.6,6886.0,2.0,3.0,30.9,130.0,191.0,2008.0,0.608696,2.719869,-0.12471208333333328
82,6.0,145.0,0.10206830279659088,0.6235785125712643,15.0,855.6666666666665,29.0,0.1838660142943362,0.3921106528631148,1.0,0.0,2.0,0.0,3.0,1.0,2.0,9.0,23.69,20.77,25.6,6886.0,2.0,3.0,30.9,130.0,191.0,2008.0,0.608696,2.719869,-0.12471208333333328
83,6.0,46.0,0.083552369699997,0.6094449070575595,4.0,363.5,31.0,0.1232778154152763,0.3541550828625485,1.0,0.0,2.0,0.0,3.0,1.0,2.0,9.0,23.69,20.77,25.6,6886.0,2.0,3.0,30.9,130.0,191.0,2008.0,0.608696,2.719869,-0.12471208333333328
84,6.0,102.0,0.08186781145788308,0.6196976078653371,10.0,487.5,31.0,0.19155474125053631,0.3688303243052757,1.0,0.0,2.0,0.0,3.0,1.0,2.0,9.0,23.69,20.77,25.6,6886.0,2.0,3.0,30.9,130.0,191.0,2008.0,0.608696,2.719869,-0.12471208333333328
85,6.0,91.0,0.14257254988879467,0.5936467324183667,10.0,775.6,31.0,0.13505827555857994,0.35336631870732343,1.0,0.0,2.0,0.0,3.0,1.0,2.0,9.0,23.69,20.77,25.6,6886.0,2.0,3.0,30.9,130.0,191.0,2008.0,0.608696,2.719869,-0.12471208333333328
86,6.0,57.0,0.09186668975002148,0.6145352761891495,10.0,1055.7,31.0,0.2491791800172072,0.3635913648847161,1.0,0.0,2.0,0.0,3.0,1.0,2.0,9.0,23.69,20.77,25.6,6886.0,2.0,3.0,30.9,130.0,191.0,2008.0,0.608696,2.719869,-0.12471208333333328
87,6.0,1.0,0.0936209743839151,0.5973746561642191,7.0,719.4285714285713,33.0,0.18621417074189048,0.3382521375222763,1.0,0.0,2.0,0.0,3.0,1.0,2.0,9.0,23.69,20.77,25.6,6886.0,2.0,3.0,30.9,130.0,191.0,2008.0,0.608696,2.719869,-0.12471208333333328
88,6.0,58.0,0.09322651498048083,0.5997688499664613,13.0,871.2307692307692,33.0,0.16633928403416304,0.3381513957404312,1.0,0.0,2.0,0.0,3.0,1.0,2.0,9.0,23.69,20.77,25.6,6886.0,2.0,3.0,30.9,130.0,191.0,2008.0,0.608696,2.719869,-0.12471208333333328
89,6.0,143.0,0.13678486068804938,0.5730834681644885,5.0,1738.4,31.0,0.16997858607182792,0.3247767664194457,1.0,0.0,2.0,0.0,3.0,1.0,2.0,9.0,23.69,20.77,25.6,6886.0,2.0,3.0,30.9,130.0,191.0,2008.0,0.608696,2.719869,-0.12471208333333328
90,6.0,59.0,0.10611371228566296,0.59107240389576,10.0,613.4,33.0,0.10638959578664424,0.33100445401951056,1.0,0.0,2.0,0.0,3.0,1.0,2.0,9.0,23.69,20.77,25.6,6886.0,2.0,3.0,30.9,130.0,191.0,2008.0,0.608696,2.719869,-0.12471208333333328
